Source_Device_ID,Target_Device_ID,Relationship,Network_Segment
DEV-0077,DEV-0019,UPLINK,SERVER
DEV-0078,DEV-0012,UPLINK,USER
DEV-0079,DEV-0018,UPLINK,BRANCH
DEV-0080,DEV-0003,UPLINK,USER
DEV-0081,DEV-0006,UPLINK,SERVER
DEV-0082,DEV-0005,UPLINK,DMZ
DEV-0083,DEV-0015,UPLINK,USER
DEV-0084,DEV-0005,UPLINK,SERVER
DEV-0085,DEV-0003,UPLINK,DMZ
DEV-0086,DEV-0016,UPLINK,CORE
DEV-0087,DEV-0008,UPLINK,BRANCH
DEV-0088,DEV-0012,UPLINK,DMZ
DEV-0089,DEV-0018,UPLINK,USER
DEV-0090,DEV-0015,UPLINK,BRANCH
DEV-0091,DEV-0011,UPLINK,DMZ
DEV-0092,DEV-0005,UPLINK,DMZ
DEV-0093,DEV-0009,UPLINK,CORE
DEV-0094,DEV-0018,UPLINK,DMZ
DEV-0095,DEV-0002,UPLINK,SERVER
DEV-0096,DEV-0016,UPLINK,BRANCH
DEV-0097,DEV-0013,UPLINK,USER
DEV-0098,DEV-0020,UPLINK,BRANCH
DEV-0099,DEV-0017,UPLINK,USER
DEV-0100,DEV-0003,UPLINK,BRANCH
DEV-0101,DEV-0007,UPLINK,DMZ
DEV-0102,DEV-0002,UPLINK,CORE
DEV-0103,DEV-0005,UPLINK,USER
DEV-0104,DEV-0018,UPLINK,USER
DEV-0105,DEV-0006,UPLINK,BRANCH
DEV-0106,DEV-0013,UPLINK,USER
DEV-0107,DEV-0015,UPLINK,DMZ
DEV-0108,DEV-0014,UPLINK,DMZ
DEV-0109,DEV-0011,UPLINK,DMZ
DEV-0110,DEV-0005,UPLINK,DMZ
DEV-0111,DEV-0012,UPLINK,CORE
DEV-0112,DEV-0006,UPLINK,SERVER
DEV-0113,DEV-0005,UPLINK,CORE
DEV-0114,DEV-0012,UPLINK,USER
DEV-0115,DEV-0020,UPLINK,CORE
DEV-0116,DEV-0004,UPLINK,DMZ
DEV-0117,DEV-0016,UPLINK,CORE
DEV-0118,DEV-0018,UPLINK,CORE
DEV-0119,DEV-0008,UPLINK,SERVER
DEV-0120,DEV-0016,UPLINK,CORE
DEV-0121,DEV-0011,UPLINK,SERVER
DEV-0122,DEV-0006,UPLINK,DMZ
DEV-0123,DEV-0010,UPLINK,SERVER
DEV-0124,DEV-0017,UPLINK,USER
DEV-0125,DEV-0013,UPLINK,DMZ
DEV-0126,DEV-0002,UPLINK,SERVER
DEV-0127,DEV-0005,UPLINK,USER
DEV-0128,DEV-0006,UPLINK,BRANCH
DEV-0129,DEV-0008,UPLINK,DMZ
DEV-0130,DEV-0014,UPLINK,DMZ
DEV-0131,DEV-0011,UPLINK,USER
DEV-0132,DEV-0007,UPLINK,CORE
DEV-0133,DEV-0015,UPLINK,DMZ
DEV-0134,DEV-0006,UPLINK,BRANCH
DEV-0135,DEV-0008,UPLINK,CORE
DEV-0136,DEV-0006,UPLINK,BRANCH
DEV-0137,DEV-0010,UPLINK,USER
DEV-0138,DEV-0019,UPLINK,BRANCH
DEV-0139,DEV-0018,UPLINK,BRANCH
DEV-0140,DEV-0012,UPLINK,DMZ
DEV-0141,DEV-0016,UPLINK,DMZ
DEV-0142,DEV-0019,UPLINK,BRANCH
DEV-0143,DEV-0018,UPLINK,DMZ
DEV-0144,DEV-0005,UPLINK,USER
DEV-0145,DEV-0001,UPLINK,SERVER
DEV-0146,DEV-0005,UPLINK,DMZ
DEV-0147,DEV-0001,UPLINK,SERVER
DEV-0148,DEV-0017,UPLINK,CORE
DEV-0149,DEV-0017,UPLINK,CORE
DEV-0150,DEV-0010,UPLINK,DMZ
DEV-0151,DEV-0017,UPLINK,SERVER
DEV-0152,DEV-0011,UPLINK,USER
DEV-0153,DEV-0012,UPLINK,USER
DEV-0154,DEV-0006,UPLINK,SERVER
DEV-0155,DEV-0012,UPLINK,SERVER
DEV-0156,DEV-0017,UPLINK,USER
DEV-0157,DEV-0018,UPLINK,DMZ
DEV-0158,DEV-0009,UPLINK,USER
DEV-0159,DEV-0003,UPLINK,SERVER
DEV-0160,DEV-0018,UPLINK,CORE
DEV-0161,DEV-0005,UPLINK,CORE
DEV-0162,DEV-0002,UPLINK,DMZ
DEV-0163,DEV-0015,UPLINK,CORE
DEV-0164,DEV-0007,UPLINK,CORE
DEV-0165,DEV-0014,UPLINK,DMZ
DEV-0166,DEV-0016,UPLINK,BRANCH
DEV-0167,DEV-0004,UPLINK,SERVER
DEV-0168,DEV-0001,UPLINK,BRANCH
DEV-0169,DEV-0001,UPLINK,USER
DEV-0170,DEV-0015,UPLINK,DMZ
DEV-0171,DEV-0013,UPLINK,BRANCH
DEV-0172,DEV-0017,UPLINK,CORE
DEV-0173,DEV-0002,UPLINK,CORE
DEV-0174,DEV-0002,UPLINK,USER
DEV-0175,DEV-0020,UPLINK,SERVER
DEV-0176,DEV-0013,UPLINK,SERVER
DEV-0177,DEV-0017,UPLINK,CORE
DEV-0178,DEV-0016,UPLINK,SERVER
DEV-0179,DEV-0011,UPLINK,DMZ
DEV-0180,DEV-0008,UPLINK,SERVER
DEV-0181,DEV-0006,UPLINK,DMZ
DEV-0182,DEV-0009,UPLINK,BRANCH
DEV-0183,DEV-0002,UPLINK,BRANCH
DEV-0184,DEV-0016,UPLINK,DMZ
DEV-0185,DEV-0013,UPLINK,DMZ
DEV-0186,DEV-0014,UPLINK,DMZ
DEV-0187,DEV-0001,UPLINK,BRANCH
DEV-0188,DEV-0015,UPLINK,SERVER
DEV-0189,DEV-0005,UPLINK,DMZ
DEV-0190,DEV-0019,UPLINK,DMZ
DEV-0191,DEV-0001,UPLINK,DMZ
DEV-0192,DEV-0004,UPLINK,CORE
DEV-0193,DEV-0008,UPLINK,SERVER
DEV-0194,DEV-0015,UPLINK,BRANCH
DEV-0195,DEV-0004,UPLINK,USER
DEV-0196,DEV-0012,UPLINK,BRANCH
DEV-0197,DEV-0011,UPLINK,USER
DEV-0198,DEV-0010,UPLINK,USER
DEV-0199,DEV-0009,UPLINK,USER
DEV-0200,DEV-0011,UPLINK,DMZ
DEV-0201,DEV-0011,UPLINK,USER
DEV-0202,DEV-0017,UPLINK,CORE
DEV-0203,DEV-0006,UPLINK,SERVER
DEV-0204,DEV-0008,UPLINK,SERVER
DEV-0205,DEV-0018,UPLINK,BRANCH
DEV-0206,DEV-0017,UPLINK,SERVER
DEV-0207,DEV-0003,UPLINK,USER
DEV-0208,DEV-0012,UPLINK,BRANCH
DEV-0209,DEV-0013,UPLINK,SERVER
DEV-0210,DEV-0019,UPLINK,USER
DEV-0211,DEV-0007,UPLINK,SERVER
DEV-0212,DEV-0015,UPLINK,USER
DEV-0213,DEV-0003,UPLINK,USER
DEV-0214,DEV-0005,UPLINK,DMZ
DEV-0215,DEV-0005,UPLINK,DMZ
DEV-0216,DEV-0020,UPLINK,BRANCH
DEV-0217,DEV-0013,UPLINK,SERVER
DEV-0218,DEV-0013,UPLINK,SERVER
DEV-0219,DEV-0007,UPLINK,DMZ
DEV-0220,DEV-0003,UPLINK,BRANCH
DEV-0221,DEV-0002,UPLINK,DMZ
DEV-0222,DEV-0017,UPLINK,USER
DEV-0223,DEV-0020,UPLINK,BRANCH
DEV-0224,DEV-0003,UPLINK,USER
DEV-0225,DEV-0015,UPLINK,SERVER
DEV-0226,DEV-0013,UPLINK,USER
DEV-0227,DEV-0013,UPLINK,SERVER
DEV-0228,DEV-0020,UPLINK,DMZ
DEV-0229,DEV-0014,UPLINK,BRANCH
DEV-0230,DEV-0003,UPLINK,SERVER
DEV-0231,DEV-0018,UPLINK,DMZ
DEV-0232,DEV-0005,UPLINK,USER
DEV-0233,DEV-0017,UPLINK,DMZ
DEV-0234,DEV-0005,UPLINK,BRANCH
DEV-0235,DEV-0012,UPLINK,SERVER
DEV-0236,DEV-0001,UPLINK,SERVER
DEV-0237,DEV-0002,UPLINK,USER
DEV-0238,DEV-0012,UPLINK,DMZ
DEV-0239,DEV-0003,UPLINK,SERVER
DEV-0240,DEV-0013,UPLINK,USER
DEV-0241,DEV-0003,UPLINK,DMZ
DEV-0242,DEV-0019,UPLINK,CORE
DEV-0243,DEV-0007,UPLINK,BRANCH
DEV-0244,DEV-0006,UPLINK,USER
DEV-0245,DEV-0012,UPLINK,DMZ
DEV-0246,DEV-0012,UPLINK,BRANCH
DEV-0247,DEV-0001,UPLINK,SERVER
DEV-0248,DEV-0009,UPLINK,USER
DEV-0249,DEV-0010,UPLINK,BRANCH
DEV-0250,DEV-0017,UPLINK,USER
DEV-0251,DEV-0015,UPLINK,DMZ
DEV-0252,DEV-0004,UPLINK,SERVER
DEV-0253,DEV-0008,UPLINK,DMZ
DEV-0254,DEV-0017,UPLINK,DMZ
DEV-0255,DEV-0004,UPLINK,SERVER
DEV-0256,DEV-0010,UPLINK,CORE
DEV-0257,DEV-0017,UPLINK,BRANCH
DEV-0258,DEV-0018,UPLINK,BRANCH
DEV-0259,DEV-0011,UPLINK,BRANCH
DEV-0260,DEV-0003,UPLINK,USER
DEV-0261,DEV-0011,UPLINK,DMZ
DEV-0262,DEV-0018,UPLINK,BRANCH
DEV-0263,DEV-0007,UPLINK,USER
DEV-0264,DEV-0011,UPLINK,SERVER
DEV-0265,DEV-0015,UPLINK,BRANCH
DEV-0266,DEV-0006,UPLINK,SERVER
DEV-0267,DEV-0013,UPLINK,BRANCH
DEV-0268,DEV-0014,UPLINK,DMZ
DEV-0269,DEV-0014,UPLINK,DMZ
DEV-0270,DEV-0015,UPLINK,USER
DEV-0271,DEV-0016,UPLINK,DMZ
DEV-0272,DEV-0007,UPLINK,BRANCH
DEV-0273,DEV-0015,UPLINK,USER
DEV-0274,DEV-0010,UPLINK,USER
DEV-0275,DEV-0009,UPLINK,USER
DEV-0276,DEV-0007,UPLINK,DMZ
DEV-0277,DEV-0009,UPLINK,SERVER
DEV-0278,DEV-0003,UPLINK,USER
DEV-0279,DEV-0009,UPLINK,CORE
DEV-0280,DEV-0002,UPLINK,CORE
DEV-0281,DEV-0013,UPLINK,USER
DEV-0282,DEV-0017,UPLINK,DMZ
DEV-0283,DEV-0013,UPLINK,USER
DEV-0284,DEV-0019,UPLINK,CORE
DEV-0285,DEV-0001,UPLINK,DMZ
DEV-0286,DEV-0006,UPLINK,CORE
DEV-0287,DEV-0017,UPLINK,DMZ
DEV-0288,DEV-0001,UPLINK,BRANCH
DEV-0289,DEV-0017,UPLINK,CORE
DEV-0290,DEV-0020,UPLINK,BRANCH
DEV-0291,DEV-0001,UPLINK,SERVER
DEV-0292,DEV-0007,UPLINK,BRANCH
DEV-0293,DEV-0011,UPLINK,SERVER
DEV-0294,DEV-0018,UPLINK,USER
DEV-0295,DEV-0008,UPLINK,SERVER
DEV-0296,DEV-0009,UPLINK,BRANCH
DEV-0297,DEV-0005,UPLINK,DMZ
DEV-0298,DEV-0020,UPLINK,DMZ
DEV-0299,DEV-0001,UPLINK,BRANCH
DEV-0300,DEV-0006,UPLINK,SERVER
DEV-0301,DEV-0008,UPLINK,CORE
DEV-0302,DEV-0010,UPLINK,USER
DEV-0303,DEV-0015,UPLINK,SERVER
DEV-0304,DEV-0013,UPLINK,BRANCH
DEV-0305,DEV-0004,UPLINK,DMZ
DEV-0306,DEV-0017,UPLINK,DMZ
DEV-0307,DEV-0006,UPLINK,SERVER
DEV-0308,DEV-0013,UPLINK,SERVER
DEV-0309,DEV-0016,UPLINK,CORE
DEV-0310,DEV-0017,UPLINK,DMZ
DEV-0311,DEV-0015,UPLINK,SERVER
DEV-0312,DEV-0008,UPLINK,SERVER
DEV-0313,DEV-0004,UPLINK,DMZ
DEV-0314,DEV-0011,UPLINK,BRANCH
DEV-0315,DEV-0018,UPLINK,DMZ
DEV-0316,DEV-0007,UPLINK,USER
DEV-0317,DEV-0019,UPLINK,USER
DEV-0318,DEV-0004,UPLINK,CORE
DEV-0319,DEV-0013,UPLINK,DMZ
DEV-0320,DEV-0006,UPLINK,USER
DEV-0321,DEV-0008,UPLINK,CORE
DEV-0322,DEV-0010,UPLINK,DMZ
DEV-0323,DEV-0012,UPLINK,CORE
DEV-0324,DEV-0017,UPLINK,CORE
DEV-0325,DEV-0020,UPLINK,CORE
DEV-0326,DEV-0015,UPLINK,BRANCH
DEV-0327,DEV-0001,UPLINK,USER
DEV-0328,DEV-0020,UPLINK,USER
DEV-0329,DEV-0005,UPLINK,CORE
DEV-0330,DEV-0003,UPLINK,USER
DEV-0331,DEV-0008,UPLINK,DMZ
DEV-0332,DEV-0005,UPLINK,SERVER
DEV-0333,DEV-0011,UPLINK,USER
DEV-0334,DEV-0006,UPLINK,USER
DEV-0335,DEV-0002,UPLINK,USER
DEV-0336,DEV-0004,UPLINK,SERVER
DEV-0337,DEV-0013,UPLINK,DMZ
DEV-0338,DEV-0007,UPLINK,CORE
DEV-0339,DEV-0013,UPLINK,BRANCH
DEV-0340,DEV-0004,UPLINK,CORE
DEV-0341,DEV-0008,UPLINK,BRANCH
DEV-0342,DEV-0012,UPLINK,SERVER
DEV-0343,DEV-0016,UPLINK,USER
DEV-0344,DEV-0006,UPLINK,SERVER
DEV-0345,DEV-0003,UPLINK,BRANCH
DEV-0346,DEV-0017,UPLINK,BRANCH
DEV-0347,DEV-0015,UPLINK,BRANCH
DEV-0348,DEV-0010,UPLINK,DMZ
DEV-0349,DEV-0004,UPLINK,BRANCH
DEV-0350,DEV-0013,UPLINK,CORE
DEV-0351,DEV-0001,UPLINK,BRANCH
DEV-0352,DEV-0007,UPLINK,USER
DEV-0353,DEV-0017,UPLINK,SERVER
DEV-0354,DEV-0019,UPLINK,SERVER
DEV-0355,DEV-0012,UPLINK,USER
DEV-0356,DEV-0013,UPLINK,DMZ
DEV-0357,DEV-0013,UPLINK,CORE
DEV-0358,DEV-0005,UPLINK,DMZ
DEV-0359,DEV-0007,UPLINK,CORE
DEV-0360,DEV-0012,UPLINK,CORE
DEV-0361,DEV-0011,UPLINK,SERVER
DEV-0362,DEV-0017,UPLINK,DMZ
DEV-0363,DEV-0002,UPLINK,BRANCH
DEV-0364,DEV-0015,UPLINK,CORE
DEV-0365,DEV-0006,UPLINK,BRANCH
DEV-0366,DEV-0016,UPLINK,SERVER
DEV-0367,DEV-0009,UPLINK,BRANCH
DEV-0368,DEV-0017,UPLINK,USER
DEV-0369,DEV-0018,UPLINK,DMZ
DEV-0370,DEV-0020,UPLINK,CORE
DEV-0371,DEV-0015,UPLINK,DMZ
DEV-0372,DEV-0018,UPLINK,CORE
DEV-0373,DEV-0007,UPLINK,USER
DEV-0374,DEV-0012,UPLINK,BRANCH
DEV-0375,DEV-0005,UPLINK,CORE
DEV-0376,DEV-0010,UPLINK,SERVER
DEV-0377,DEV-0002,UPLINK,BRANCH
DEV-0378,DEV-0012,UPLINK,BRANCH
DEV-0379,DEV-0018,UPLINK,BRANCH
DEV-0380,DEV-0003,UPLINK,BRANCH
DEV-0381,DEV-0020,UPLINK,USER
DEV-0382,DEV-0011,UPLINK,USER
DEV-0383,DEV-0005,UPLINK,BRANCH
DEV-0384,DEV-0016,UPLINK,DMZ
DEV-0385,DEV-0011,UPLINK,SERVER
DEV-0386,DEV-0014,UPLINK,BRANCH
DEV-0387,DEV-0015,UPLINK,SERVER
DEV-0388,DEV-0008,UPLINK,DMZ
DEV-0389,DEV-0020,UPLINK,USER
DEV-0390,DEV-0014,UPLINK,CORE
DEV-0391,DEV-0012,UPLINK,USER
DEV-0392,DEV-0008,UPLINK,CORE
DEV-0393,DEV-0018,UPLINK,DMZ
DEV-0394,DEV-0014,UPLINK,CORE
DEV-0395,DEV-0017,UPLINK,BRANCH
DEV-0396,DEV-0010,UPLINK,USER
DEV-0397,DEV-0009,UPLINK,BRANCH
DEV-0398,DEV-0016,UPLINK,DMZ
DEV-0399,DEV-0017,UPLINK,USER
DEV-0400,DEV-0003,UPLINK,DMZ
DEV-0401,DEV-0002,UPLINK,DMZ
DEV-0402,DEV-0007,UPLINK,CORE
DEV-0403,DEV-0016,UPLINK,DMZ
DEV-0404,DEV-0010,UPLINK,DMZ
DEV-0405,DEV-0015,UPLINK,SERVER
DEV-0406,DEV-0018,UPLINK,SERVER
DEV-0407,DEV-0018,UPLINK,DMZ
DEV-0408,DEV-0006,UPLINK,DMZ
DEV-0409,DEV-0010,UPLINK,DMZ
DEV-0410,DEV-0013,UPLINK,USER
DEV-0411,DEV-0003,UPLINK,USER
DEV-0412,DEV-0005,UPLINK,CORE
DEV-0413,DEV-0019,UPLINK,BRANCH
DEV-0414,DEV-0008,UPLINK,USER
DEV-0415,DEV-0017,UPLINK,CORE
DEV-0416,DEV-0015,UPLINK,USER
DEV-0417,DEV-0011,UPLINK,CORE
DEV-0418,DEV-0018,UPLINK,USER
DEV-0419,DEV-0006,UPLINK,CORE
DEV-0420,DEV-0001,UPLINK,CORE
DEV-0421,DEV-0018,UPLINK,CORE
DEV-0422,DEV-0011,UPLINK,USER
DEV-0423,DEV-0004,UPLINK,DMZ
DEV-0424,DEV-0017,UPLINK,DMZ
DEV-0425,DEV-0001,UPLINK,SERVER
DEV-0426,DEV-0019,UPLINK,CORE
DEV-0427,DEV-0004,UPLINK,USER
DEV-0428,DEV-0012,UPLINK,USER
DEV-0429,DEV-0002,UPLINK,USER
DEV-0430,DEV-0002,UPLINK,SERVER
DEV-0431,DEV-0019,UPLINK,CORE
DEV-0432,DEV-0014,UPLINK,SERVER
DEV-0433,DEV-0007,UPLINK,CORE
DEV-0434,DEV-0012,UPLINK,CORE
DEV-0435,DEV-0008,UPLINK,SERVER
DEV-0436,DEV-0009,UPLINK,DMZ
DEV-0437,DEV-0017,UPLINK,DMZ
DEV-0438,DEV-0019,UPLINK,DMZ
DEV-0439,DEV-0019,UPLINK,DMZ
DEV-0440,DEV-0001,UPLINK,BRANCH
DEV-0441,DEV-0015,UPLINK,SERVER
DEV-0442,DEV-0015,UPLINK,DMZ
DEV-0443,DEV-0016,UPLINK,BRANCH
DEV-0444,DEV-0012,UPLINK,DMZ
DEV-0445,DEV-0005,UPLINK,DMZ
DEV-0446,DEV-0006,UPLINK,CORE
DEV-0447,DEV-0017,UPLINK,DMZ
DEV-0448,DEV-0014,UPLINK,USER
DEV-0449,DEV-0018,UPLINK,DMZ
DEV-0450,DEV-0014,UPLINK,BRANCH
DEV-0451,DEV-0016,UPLINK,BRANCH
DEV-0452,DEV-0002,UPLINK,SERVER
DEV-0453,DEV-0007,UPLINK,CORE
DEV-0454,DEV-0015,UPLINK,SERVER
DEV-0455,DEV-0016,UPLINK,SERVER
DEV-0456,DEV-0012,UPLINK,DMZ
DEV-0457,DEV-0013,UPLINK,USER
DEV-0458,DEV-0002,UPLINK,BRANCH
DEV-0459,DEV-0001,UPLINK,CORE
DEV-0460,DEV-0020,UPLINK,USER
DEV-0461,DEV-0010,UPLINK,DMZ
DEV-0462,DEV-0004,UPLINK,USER
DEV-0463,DEV-0005,UPLINK,SERVER
DEV-0464,DEV-0002,UPLINK,USER
DEV-0465,DEV-0008,UPLINK,BRANCH
DEV-0466,DEV-0005,UPLINK,BRANCH
DEV-0467,DEV-0003,UPLINK,CORE
DEV-0468,DEV-0002,UPLINK,BRANCH
DEV-0469,DEV-0001,UPLINK,DMZ
DEV-0470,DEV-0006,UPLINK,BRANCH
DEV-0471,DEV-0005,UPLINK,SERVER
DEV-0472,DEV-0016,UPLINK,BRANCH
DEV-0473,DEV-0011,UPLINK,SERVER
DEV-0474,DEV-0012,UPLINK,DMZ
DEV-0475,DEV-0005,UPLINK,USER
DEV-0476,DEV-0016,UPLINK,CORE
DEV-0477,DEV-0009,UPLINK,DMZ
DEV-0478,DEV-0014,UPLINK,SERVER
DEV-0479,DEV-0014,UPLINK,USER
DEV-0480,DEV-0005,UPLINK,USER
DEV-0481,DEV-0020,UPLINK,CORE
DEV-0482,DEV-0008,UPLINK,BRANCH
DEV-0483,DEV-0006,UPLINK,USER
DEV-0484,DEV-0018,UPLINK,BRANCH
DEV-0485,DEV-0008,UPLINK,SERVER
DEV-0486,DEV-0012,UPLINK,SERVER
DEV-0487,DEV-0016,UPLINK,SERVER
DEV-0488,DEV-0011,UPLINK,CORE
DEV-0489,DEV-0016,UPLINK,CORE
DEV-0490,DEV-0004,UPLINK,BRANCH
DEV-0491,DEV-0004,UPLINK,USER
DEV-0492,DEV-0019,UPLINK,CORE
DEV-0493,DEV-0015,UPLINK,SERVER
DEV-0494,DEV-0006,UPLINK,USER
DEV-0495,DEV-0015,UPLINK,BRANCH
DEV-0496,DEV-0020,UPLINK,SERVER
DEV-0497,DEV-0005,UPLINK,USER
DEV-0498,DEV-0006,UPLINK,SERVER
DEV-0499,DEV-0011,UPLINK,BRANCH
DEV-0500,DEV-0006,UPLINK,CORE
