Device_ID,Hostname,IP_Address,Device_Type,Vendor,Model,Location,Rack,Firmware
DEV-0081,access-switch-0081,10.1.81.10,CORE_SWITCH,Cisco,ISR-4331,DC-1,R17,4.28.6M
DEV-0082,firewall-0082,10.1.82.10,ACCESS_SWITCH,Cisco,Catalyst-9300,DC-1,R04,4.28.6M
DEV-0083,core-switch-0083,10.1.83.10,ACCESS_SWITCH,Dell,N3248,DC-1,R07,4.28.6M
DEV-0084,access-switch-0084,10.1.84.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,BRANCH-B,R05,20.4R3
DEV-0085,core-switch-0085,10.1.85.10,ROUTER,HPE,Aruba-6300,BRANCH-B,R04,10.2.1
DEV-0086,firewall-0086,10.1.86.10,FIREWALL,Cisco,ISR-4331,DC-2,R07,17.9.4
DEV-0087,access-switch-0087,10.1.87.10,FIREWALL,Dell,S5248F,HQ,R18,4.28.6M
DEV-0088,distribution-switch-0088,10.1.88.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,DC-1,R29,10.2.1
DEV-0089,core-switch-0089,10.1.89.10,DISTRIBUTION_SWITCH,Juniper,EX3400,DC-2,R02,10.2.1
DEV-0090,firewall-0090,10.1.90.10,ACCESS_SWITCH,Dell,N3248,BRANCH-B,R01,4.28.6M
DEV-0091,core-switch-0091,10.1.91.10,FIREWALL,Cisco,ISR-4331,BRANCH-A,R06,4.28.6M
DEV-0092,firewall-0092,10.1.92.10,ROUTER,Arista,7280R,HQ,R10,17.9.4
DEV-0093,access-switch-0093,10.1.93.10,FIREWALL,Arista,7050X3,DC-2,R28,17.9.4
DEV-0094,router-0094,10.1.94.10,FIREWALL,HPE,Aruba-6300,DC-1,R07,16.12.6
DEV-0095,firewall-0095,10.1.95.10,ROUTER,Arista,7280R,DC-1,R28,16.12.6
DEV-0096,core-switch-0096,10.1.96.10,FIREWALL,Cisco,ISR-4331,DC-2,R12,10.2.1
DEV-0097,firewall-0097,10.1.97.10,FIREWALL,Dell,N3248,BRANCH-C,R21,20.4R3
DEV-0098,firewall-0098,10.1.98.10,ROUTER,HPE,Aruba-6300,HQ,R20,16.12.6
DEV-0099,core-switch-0099,10.1.99.10,CORE_SWITCH,Juniper,MX204,DC-1,R21,20.4R3
DEV-0100,access-switch-0100,10.1.100.10,ROUTER,Cisco,ISR-4331,BRANCH-C,R12,4.28.6M
DEV-0101,distribution-switch-0101,10.1.101.10,ROUTER,Dell,N3248,DC-2,R08,17.9.4
DEV-0102,distribution-switch-0102,10.1.102.10,ROUTER,HPE,Aruba-8320,BRANCH-B,R09,4.28.6M
DEV-0103,core-switch-0103,10.1.103.10,CORE_SWITCH,Arista,7050X3,BRANCH-B,R20,10.2.1
DEV-0104,firewall-0104,10.1.104.10,FIREWALL,HPE,Aruba-8320,HQ,R29,17.9.4
DEV-0105,firewall-0105,10.1.105.10,CORE_SWITCH,Arista,7280R,DC-2,R24,17.9.4
DEV-0106,firewall-0106,10.1.106.10,FIREWALL,Arista,7050X3,DC-1,R22,16.12.6
DEV-0107,core-switch-0107,10.1.107.10,ACCESS_SWITCH,Juniper,EX3400,DC-2,R25,20.4R3
DEV-0108,core-switch-0108,10.1.108.10,FIREWALL,Arista,7050X3,DC-2,R09,20.4R3
DEV-0109,firewall-0109,10.1.109.10,ROUTER,Cisco,Catalyst-9300,BRANCH-B,R05,20.4R3
DEV-0110,firewall-0110,10.1.110.10,FIREWALL,Dell,S5248F,DC-2,R10,20.4R3
DEV-0111,firewall-0111,10.1.111.10,CORE_SWITCH,Cisco,ISR-4331,DC-1,R19,10.2.1
DEV-0112,router-0112,10.1.112.10,CORE_SWITCH,Dell,S5248F,DC-2,R28,17.9.4
DEV-0113,distribution-switch-0113,10.1.113.10,ACCESS_SWITCH,Juniper,EX3400,DC-2,R12,16.12.6
DEV-0114,firewall-0114,10.1.114.10,ACCESS_SWITCH,HPE,Aruba-6300,DC-1,R16,10.2.1
DEV-0115,distribution-switch-0115,10.1.115.10,ACCESS_SWITCH,Dell,S5248F,BRANCH-C,R28,17.9.4
DEV-0116,distribution-switch-0116,10.1.116.10,DISTRIBUTION_SWITCH,Juniper,MX204,HQ,R19,17.9.4
DEV-0117,core-switch-0117,10.1.117.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-A,R30,17.9.4
DEV-0118,core-switch-0118,10.1.118.10,FIREWALL,Arista,7050X3,BRANCH-A,R10,16.12.6
DEV-0119,core-switch-0119,10.1.119.10,ROUTER,Juniper,MX204,BRANCH-B,R02,10.2.1
DEV-0120,firewall-0120,10.1.120.10,ACCESS_SWITCH,Juniper,EX3400,HQ,R19,16.12.6
DEV-0121,router-0121,10.1.121.10,ROUTER,Arista,7280R,DC-1,R03,20.4R3
DEV-0122,firewall-0122,10.1.122.10,DISTRIBUTION_SWITCH,Arista,7050X3,DC-2,R19,20.4R3
DEV-0123,firewall-0123,10.1.123.10,DISTRIBUTION_SWITCH,Dell,N3248,DC-2,R29,10.2.1
DEV-0124,firewall-0124,10.1.124.10,CORE_SWITCH,Cisco,ISR-4331,DC-2,R14,17.9.4
DEV-0125,distribution-switch-0125,10.1.125.10,FIREWALL,Cisco,Catalyst-9300,DC-1,R26,16.12.6
DEV-0126,access-switch-0126,10.1.126.10,FIREWALL,Cisco,Catalyst-9300,DC-2,R04,16.12.6
DEV-0127,access-switch-0127,10.1.127.10,FIREWALL,Cisco,ISR-4331,BRANCH-C,R14,17.9.4
DEV-0128,distribution-switch-0128,10.1.128.10,FIREWALL,HPE,Aruba-8320,BRANCH-C,R27,20.4R3
DEV-0129,access-switch-0129,10.1.129.10,ROUTER,Arista,7050X3,DC-2,R26,20.4R3
DEV-0130,core-switch-0130,10.1.130.10,FIREWALL,Arista,7280R,DC-2,R07,16.12.6
DEV-0131,distribution-switch-0131,10.1.131.10,ROUTER,Cisco,Catalyst-9300,DC-1,R13,4.28.6M
DEV-0132,router-0132,10.1.132.10,DISTRIBUTION_SWITCH,Cisco,Catalyst-9300,DC-1,R13,17.9.4
DEV-0133,distribution-switch-0133,10.1.133.10,CORE_SWITCH,HPE,Aruba-8320,HQ,R10,16.12.6
DEV-0134,router-0134,10.1.134.10,DISTRIBUTION_SWITCH,Dell,N3248,DC-2,R27,20.4R3
DEV-0135,firewall-0135,10.1.135.10,CORE_SWITCH,Dell,S5248F,BRANCH-B,R22,10.2.1
DEV-0136,access-switch-0136,10.1.136.10,CORE_SWITCH,HPE,Aruba-6300,HQ,R19,10.2.1
DEV-0137,distribution-switch-0137,10.1.137.10,ROUTER,HPE,Aruba-8320,HQ,R04,16.12.6
DEV-0138,core-switch-0138,10.1.138.10,DISTRIBUTION_SWITCH,Arista,7050X3,HQ,R08,17.9.4
DEV-0139,firewall-0139,10.1.139.10,ROUTER,Arista,7050X3,BRANCH-C,R26,4.28.6M
DEV-0140,router-0140,10.1.140.10,CORE_SWITCH,Arista,7280R,DC-1,R12,16.12.6
DEV-0141,firewall-0141,10.1.141.10,ACCESS_SWITCH,Juniper,EX3400,BRANCH-A,R13,20.4R3
DEV-0142,core-switch-0142,10.1.142.10,DISTRIBUTION_SWITCH,Arista,7280R,DC-2,R05,17.9.4
DEV-0143,distribution-switch-0143,10.1.143.10,FIREWALL,HPE,Aruba-8320,DC-2,R20,16.12.6
DEV-0144,core-switch-0144,10.1.144.10,CORE_SWITCH,Dell,S5248F,HQ,R15,20.4R3
DEV-0145,firewall-0145,10.1.145.10,ROUTER,Cisco,ISR-4331,DC-2,R14,10.2.1
DEV-0146,core-switch-0146,10.1.146.10,DISTRIBUTION_SWITCH,Arista,7280R,HQ,R03,16.12.6
DEV-0147,firewall-0147,10.1.147.10,ACCESS_SWITCH,HPE,Aruba-6300,BRANCH-B,R14,4.28.6M
DEV-0148,firewall-0148,10.1.148.10,FIREWALL,Arista,7050X3,HQ,R27,17.9.4
DEV-0149,core-switch-0149,10.1.149.10,FIREWALL,HPE,Aruba-8320,DC-1,R18,20.4R3
DEV-0150,core-switch-0150,10.1.150.10,CORE_SWITCH,Dell,S5248F,DC-1,R01,17.9.4
DEV-0151,access-switch-0151,10.1.151.10,ACCESS_SWITCH,Dell,N3248,BRANCH-C,R03,20.4R3
DEV-0152,router-0152,10.1.152.10,FIREWALL,Juniper,EX3400,BRANCH-A,R30,20.4R3
DEV-0153,firewall-0153,10.1.153.10,CORE_SWITCH,HPE,Aruba-6300,BRANCH-B,R05,20.4R3
DEV-0154,router-0154,10.1.154.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,BRANCH-B,R27,17.9.4
DEV-0155,firewall-0155,10.1.155.10,ROUTER,Cisco,Catalyst-9300,BRANCH-A,R24,10.2.1
DEV-0156,firewall-0156,10.1.156.10,ROUTER,Dell,N3248,BRANCH-B,R02,20.4R3
DEV-0157,access-switch-0157,10.1.157.10,ROUTER,Arista,7280R,DC-2,R11,20.4R3
DEV-0158,router-0158,10.1.158.10,ACCESS_SWITCH,Dell,N3248,DC-2,R08,17.9.4
DEV-0159,router-0159,10.1.159.10,DISTRIBUTION_SWITCH,Arista,7050X3,BRANCH-C,R18,16.12.6
DEV-0160,router-0160,10.1.160.10,ACCESS_SWITCH,Cisco,ISR-4331,BRANCH-A,R04,4.28.6M
DEV-0161,firewall-0161,10.1.161.10,DISTRIBUTION_SWITCH,Dell,S5248F,BRANCH-A,R26,16.12.6
DEV-0162,firewall-0162,10.1.162.10,CORE_SWITCH,Arista,7280R,HQ,R23,16.12.6
DEV-0163,firewall-0163,10.1.163.10,DISTRIBUTION_SWITCH,Dell,N3248,BRANCH-A,R22,16.12.6
DEV-0164,access-switch-0164,10.1.164.10,FIREWALL,Cisco,Catalyst-9300,DC-1,R21,16.12.6
DEV-0165,router-0165,10.1.165.10,CORE_SWITCH,Juniper,EX3400,DC-2,R09,20.4R3
DEV-0166,core-switch-0166,10.1.166.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,BRANCH-C,R02,17.9.4
DEV-0167,distribution-switch-0167,10.1.167.10,ACCESS_SWITCH,Arista,7050X3,HQ,R27,4.28.6M
DEV-0168,access-switch-0168,10.1.168.10,CORE_SWITCH,Arista,7050X3,BRANCH-A,R06,10.2.1
DEV-0169,core-switch-0169,10.1.169.10,FIREWALL,Cisco,Catalyst-9300,HQ,R22,17.9.4
DEV-0170,distribution-switch-0170,10.1.170.10,FIREWALL,HPE,Aruba-6300,DC-1,R20,16.12.6
DEV-0171,router-0171,10.1.171.10,ROUTER,Cisco,Catalyst-9300,BRANCH-B,R08,16.12.6
DEV-0172,firewall-0172,10.1.172.10,ACCESS_SWITCH,Cisco,Catalyst-9300,HQ,R30,10.2.1
DEV-0173,firewall-0173,10.1.173.10,FIREWALL,Cisco,ISR-4331,HQ,R18,16.12.6
DEV-0174,distribution-switch-0174,10.1.174.10,DISTRIBUTION_SWITCH,Arista,7280R,BRANCH-A,R17,17.9.4
DEV-0175,router-0175,10.1.175.10,CORE_SWITCH,Arista,7280R,BRANCH-B,R23,20.4R3
DEV-0176,distribution-switch-0176,10.1.176.10,ACCESS_SWITCH,Juniper,MX204,DC-2,R28,16.12.6
DEV-0177,distribution-switch-0177,10.1.177.10,FIREWALL,HPE,Aruba-8320,DC-1,R25,20.4R3
DEV-0178,firewall-0178,10.1.178.10,CORE_SWITCH,Arista,7050X3,BRANCH-B,R03,20.4R3
DEV-0179,router-0179,10.1.179.10,DISTRIBUTION_SWITCH,Cisco,Catalyst-9300,BRANCH-C,R24,20.4R3
DEV-0180,router-0180,10.1.180.10,FIREWALL,HPE,Aruba-8320,BRANCH-B,R14,17.9.4
DEV-0181,core-switch-0181,10.1.181.10,FIREWALL,Juniper,EX3400,BRANCH-B,R19,4.28.6M
DEV-0182,router-0182,10.1.182.10,DISTRIBUTION_SWITCH,Dell,N3248,DC-1,R15,10.2.1
DEV-0183,access-switch-0183,10.1.183.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,DC-2,R03,4.28.6M
DEV-0184,firewall-0184,10.1.184.10,FIREWALL,HPE,Aruba-8320,BRANCH-C,R09,17.9.4
DEV-0185,router-0185,10.1.185.10,ACCESS_SWITCH,Dell,N3248,DC-2,R22,4.28.6M
DEV-0186,distribution-switch-0186,10.1.186.10,ACCESS_SWITCH,Cisco,ISR-4331,DC-1,R18,20.4R3
DEV-0187,core-switch-0187,10.1.187.10,DISTRIBUTION_SWITCH,Cisco,Catalyst-9300,DC-1,R07,16.12.6
DEV-0188,router-0188,10.1.188.10,DISTRIBUTION_SWITCH,Arista,7280R,BRANCH-B,R13,17.9.4
DEV-0189,access-switch-0189,10.1.189.10,DISTRIBUTION_SWITCH,Dell,N3248,BRANCH-B,R10,4.28.6M
DEV-0190,distribution-switch-0190,10.1.190.10,CORE_SWITCH,Cisco,Catalyst-9300,DC-1,R06,17.9.4
DEV-0191,firewall-0191,10.1.191.10,DISTRIBUTION_SWITCH,HPE,Aruba-8320,BRANCH-B,R27,16.12.6
DEV-0192,distribution-switch-0192,10.1.192.10,ROUTER,Arista,7050X3,DC-1,R21,17.9.4
DEV-0193,core-switch-0193,10.1.193.10,DISTRIBUTION_SWITCH,Dell,S5248F,BRANCH-A,R30,17.9.4
DEV-0194,router-0194,10.1.194.10,ACCESS_SWITCH,Juniper,EX3400,HQ,R21,4.28.6M
DEV-0195,distribution-switch-0195,10.1.195.10,FIREWALL,Arista,7050X3,HQ,R08,20.4R3
DEV-0196,core-switch-0196,10.1.196.10,ACCESS_SWITCH,HPE,Aruba-6300,HQ,R22,17.9.4
DEV-0197,core-switch-0197,10.1.197.10,DISTRIBUTION_SWITCH,Dell,N3248,BRANCH-A,R19,20.4R3
DEV-0198,access-switch-0198,10.1.198.10,CORE_SWITCH,HPE,Aruba-8320,HQ,R13,20.4R3
DEV-0199,core-switch-0199,10.1.199.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-B,R09,16.12.6
DEV-0200,core-switch-0200,10.1.200.10,CORE_SWITCH,Cisco,Catalyst-9300,HQ,R08,17.9.4
DEV-0201,access-switch-0201,10.1.201.10,ACCESS_SWITCH,Cisco,ISR-4331,BRANCH-B,R12,4.28.6M
DEV-0202,distribution-switch-0202,10.1.202.10,ROUTER,Arista,7050X3,BRANCH-B,R12,20.4R3
DEV-0203,core-switch-0203,10.1.203.10,FIREWALL,Arista,7050X3,DC-2,R25,16.12.6
DEV-0204,access-switch-0204,10.1.204.10,FIREWALL,HPE,Aruba-6300,BRANCH-B,R22,16.12.6
DEV-0205,core-switch-0205,10.1.205.10,ROUTER,Juniper,EX3400,HQ,R26,16.12.6
DEV-0206,distribution-switch-0206,10.1.206.10,DISTRIBUTION_SWITCH,Dell,N3248,DC-1,R23,17.9.4
DEV-0207,distribution-switch-0207,10.1.207.10,FIREWALL,Dell,S5248F,DC-1,R19,17.9.4
DEV-0208,firewall-0208,10.1.208.10,DISTRIBUTION_SWITCH,Arista,7050X3,BRANCH-C,R20,20.4R3
DEV-0209,access-switch-0209,10.1.209.10,DISTRIBUTION_SWITCH,Juniper,EX3400,DC-1,R14,20.4R3
DEV-0210,router-0210,10.1.210.10,FIREWALL,HPE,Aruba-8320,HQ,R05,20.4R3
DEV-0211,router-0211,10.1.211.10,CORE_SWITCH,Juniper,MX204,BRANCH-B,R22,16.12.6
DEV-0212,distribution-switch-0212,10.1.212.10,CORE_SWITCH,Dell,N3248,BRANCH-B,R10,4.28.6M
DEV-0213,access-switch-0213,10.1.213.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-C,R27,10.2.1
DEV-0214,distribution-switch-0214,10.1.214.10,ACCESS_SWITCH,Dell,S5248F,BRANCH-C,R20,10.2.1
DEV-0215,firewall-0215,10.1.215.10,FIREWALL,Cisco,ISR-4331,DC-1,R16,4.28.6M
DEV-0216,distribution-switch-0216,10.1.216.10,CORE_SWITCH,Cisco,Catalyst-9300,BRANCH-A,R05,16.12.6
DEV-0217,access-switch-0217,10.1.217.10,FIREWALL,Cisco,ISR-4331,BRANCH-C,R18,4.28.6M
DEV-0218,firewall-0218,10.1.218.10,CORE_SWITCH,Juniper,MX204,DC-1,R21,16.12.6
DEV-0219,core-switch-0219,10.1.219.10,ROUTER,Cisco,ISR-4331,HQ,R26,10.2.1
DEV-0220,firewall-0220,10.1.220.10,ACCESS_SWITCH,Dell,N3248,BRANCH-C,R07,20.4R3
DEV-0221,distribution-switch-0221,10.1.221.10,CORE_SWITCH,Dell,S5248F,BRANCH-A,R04,20.4R3
DEV-0222,firewall-0222,10.1.222.10,FIREWALL,HPE,Aruba-6300,BRANCH-B,R14,17.9.4
DEV-0223,distribution-switch-0223,10.1.223.10,CORE_SWITCH,Arista,7280R,DC-1,R17,17.9.4
DEV-0224,firewall-0224,10.1.224.10,FIREWALL,Arista,7280R,DC-1,R09,20.4R3
DEV-0225,distribution-switch-0225,10.1.225.10,CORE_SWITCH,HPE,Aruba-6300,HQ,R10,20.4R3
DEV-0226,distribution-switch-0226,10.1.226.10,CORE_SWITCH,Juniper,MX204,HQ,R03,10.2.1
DEV-0227,core-switch-0227,10.1.227.10,CORE_SWITCH,Dell,N3248,BRANCH-C,R05,17.9.4
DEV-0228,core-switch-0228,10.1.228.10,ACCESS_SWITCH,Arista,7050X3,BRANCH-A,R29,16.12.6
DEV-0229,core-switch-0229,10.1.229.10,DISTRIBUTION_SWITCH,Arista,7280R,DC-2,R09,16.12.6
DEV-0230,access-switch-0230,10.1.230.10,ACCESS_SWITCH,Dell,N3248,BRANCH-A,R15,20.4R3
DEV-0231,distribution-switch-0231,10.1.231.10,DISTRIBUTION_SWITCH,Dell,N3248,BRANCH-B,R28,10.2.1
DEV-0232,firewall-0232,10.1.232.10,FIREWALL,HPE,Aruba-6300,DC-2,R08,10.2.1
DEV-0233,access-switch-0233,10.1.233.10,DISTRIBUTION_SWITCH,Dell,S5248F,DC-2,R08,20.4R3
DEV-0234,firewall-0234,10.1.234.10,CORE_SWITCH,Dell,N3248,HQ,R16,4.28.6M
DEV-0235,access-switch-0235,10.1.235.10,ACCESS_SWITCH,Cisco,ISR-4331,DC-1,R13,20.4R3
DEV-0236,core-switch-0236,10.1.236.10,FIREWALL,Dell,N3248,BRANCH-A,R27,4.28.6M
DEV-0237,access-switch-0237,10.1.237.10,FIREWALL,Dell,N3248,DC-1,R19,17.9.4
